mode,method,strategy,seed,cases_admitted,cases_completed,cases_incomplete,completion_rate,cases_deadlocked,cases_cyclic,cases_censored,final_marking_rate,n_events,tasks_assigned,cycle_time_mean_s,cycle_time_median_s,waiting_time_mean_s,waiting_time_median_s,throughput_cases_per_hour,resource_occupation_mean,resource_fairness_gini,weighted_resource_fairness,resource_overlap_violations,permission_violations,allocation_decisions,allocation_failures,simulation_runtime_seconds,processing_time_mean_s,exact_transition_fires,legacy_label_fires,ambiguous_legacy_label_rejections,branch_invalid_predictions_rejected,branch_predictions,reservation_decisions,reservations_created,resources_allocated,resources_released,event_log_path
generative,R-RRA / RoundRobin,round_robin,2,39,33,6,0.8461538461538461,0,0,6,0.8461538461538461,1077,,12461.047502564103,10139.843,1231.4587999999999,,,,,,0,0,,,0.267,795.6959569288389,534.0,0.0,0.0,0.0,501.0,0.0,0.0,536.0,534.0,joao/results/final_all_methods_20260715/generative/smoke/round_robin_seed2_event_log.csv
generative,R-SHQ / ShortestQueue,shortest_queue,2,39,30,9,0.7692307692307693,0,0,9,0.7692307692307693,1100,,13633.348429538459,12248.463036,2339.8126965714287,,,,,,0,0,,,0.333,803.5465147601476,542.0,0.0,0.0,0.0,512.0,0.0,0.0,544.0,542.0,joao/results/final_all_methods_20260715/generative/smoke/shortest_queue_seed2_event_log.csv
generative,ParkSong-Composite,parksong_composite,2,39,31,8,0.7948717948717948,0,0,8,0.7948717948717948,1267,,15308.382215820513,13125.69726,413.8816836098901,,,,,,0,0,,,0.37,824.6089463955637,541.0,0.0,0.0,0.0,510.0,556.0,556.0,544.0,541.0,joao/results/final_all_methods_20260715/generative/smoke/parksong_composite_seed2_event_log.csv
generative,Kunkler,kunkler,2,39,31,8,0.7948717948717948,0,0,8,0.7948717948717948,1025,,13945.902447615386,14155.165,7100.6526739411765,,,,,,0,0,,,0.333,773.8394841269841,504.0,0.0,0.0,0.0,473.0,0.0,0.0,504.0,504.0,joao/results/final_all_methods_20260715/generative/smoke/kunkler_seed2_event_log.csv
generative,Batch Allocation,batch,2,39,30,9,0.7692307692307693,0,0,9,0.7692307692307693,1180,,14475.466037384616,12330.641803,1690.2995638666666,,,,,,0,0,,,0.33,821.6810361445782,581.0,0.0,0.0,0.0,551.0,0.0,0.0,584.0,581.0,joao/results/final_all_methods_20260715/generative/smoke/batch_seed2_event_log.csv
generative,R-RRA / RoundRobin,round_robin,3,40,33,7,0.825,0,0,7,0.825,1142,,12183.758686575,10642.931499999999,314.52873150000005,,,,,,0,0,,,0.259,772.5584035087719,570.0,0.0,0.0,0.0,537.0,0.0,0.0,570.0,570.0,joao/results/final_all_methods_20260715/generative/smoke/round_robin_seed3_event_log.csv
generative,R-SHQ / ShortestQueue,shortest_queue,3,40,33,7,0.825,0,0,7,0.825,1164,,14790.603073725,12639.944295500001,3547.651232294118,,,,,,0,0,,,0.39,752.493982547993,573.0,0.0,0.0,0.0,540.0,0.0,0.0,574.0,573.0,joao/results/final_all_methods_20260715/generative/smoke/shortest_queue_seed3_event_log.csv
generative,ParkSong-Composite,parksong_composite,3,40,36,4,0.9,0,0,4,0.9,1449,,15403.179577375,15133.8200795,303.1367620898437,,,,,,0,0,,,0.878,781.6798187919462,596.0,0.0,0.0,0.0,560.0,456.0,456.0,597.0,596.0,joao/results/final_all_methods_20260715/generative/smoke/parksong_composite_seed3_event_log.csv
generative,Kunkler,kunkler,3,40,36,4,0.9,0,0,4,0.9,1231,,14271.3947008,10128.4849995,964.4506032000002,,,,,,0,0,,,0.318,785.8627573770492,610.0,0.0,0.0,0.0,574.0,0.0,0.0,611.0,610.0,joao/results/final_all_methods_20260715/generative/smoke/kunkler_seed3_event_log.csv
generative,Batch Allocation,batch,3,40,34,6,0.85,0,0,6,0.85,1124,,13455.204480199998,12033.834816,2179.1006313846156,,,,,,0,0,,,0.344,739.8538216216217,555.0,0.0,0.0,0.0,521.0,0.0,0.0,556.0,555.0,joao/results/final_all_methods_20260715/generative/smoke/batch_seed3_event_log.csv
